 Amount_Owed , Interest , IVA_Interest , Payment , Principal_End_Period 
" (386,592.85)"," (3,221.61)", (515.46)," 4,376.70 "," (385,953.22)"
" (385,953.22)"," (3,216.28)", (514.60)," 4,376.70 "," (385,307.40)"
" (385,307.40)"," (3,210.89)", (513.74)," 4,376.70 "," (384,655.34)"
" (384,655.34)"," (3,205.46)", (512.87)," 4,376.70 "," (383,996.97)"
" (383,996.97)"," (3,199.97)", (512.00)," 4,376.70 "," (383,332.24)"
" (383,332.24)"," (3,194.44)", (511.11)," 4,376.70 "," (382,661.09)"
" (382,661.09)"," (3,188.84)", (510.21)," 4,376.70 "," (381,983.44)"
" (381,983.44)"," (3,183.20)", (509.31)," 4,376.70 "," (381,299.25)"
" (381,299.25)"," (3,177.49)", (508.40)," 4,376.70 "," (380,608.44)"
" (380,608.44)"," (3,171.74)", (507.48)," 4,376.70 "," (379,910.96)"
" (379,910.96)"," (3,165.92)", (506.55)," 4,376.70 "," (379,206.73)"
" (379,206.73)"," (3,160.06)", (505.61)," 4,376.70 "," (378,495.70)"
" (378,495.70)"," (3,154.13)", (504.66)," 4,376.70 "," (377,777.79)"
" (377,777.79)"," (3,148.15)", (503.70)," 4,376.70 "," (377,052.94)"
" (377,052.94)"," (3,142.11)", (502.74)," 4,376.70 "," (376,321.08)"
" (376,321.08)"," (3,136.01)", (501.76)," 4,376.70 "," (375,582.16)"
" (375,582.16)"," (3,129.85)", (500.78)," 4,376.70 "," (374,836.08)"
" (374,836.08)"," (3,123.63)", (499.78)," 4,376.70 "," (374,082.80)"
" (374,082.80)"," (3,117.36)", (498.78)," 4,376.70 "," (373,322.23)"
" (373,322.23)"," (3,111.02)", (497.76)," 4,376.70 "," (372,554.31)"
" (372,554.31)"," (3,104.62)", (496.74)," 4,376.70 "," (371,778.97)"
" (371,778.97)"," (3,098.16)", (495.71)," 4,376.70 "," (370,996.14)"
" (370,996.14)"," (3,091.63)", (494.66)," 4,376.70 "," (370,205.73)"
" (370,205.73)"," (3,085.05)", (493.61)," 4,376.70 "," (369,407.69)"
" (369,407.69)"," (3,078.40)", (492.54)," 4,376.70 "," (368,601.93)"
" (368,601.93)"," (3,071.68)", (491.47)," 4,376.70 "," (367,788.38)"
" (367,788.38)"," (3,064.90)", (490.38)," 4,376.70 "," (366,966.97)"
" (366,966.97)"," (3,058.06)", (489.29)," 4,376.70 "," (366,137.61)"
" (366,137.61)"," (3,051.15)", (488.18)," 4,376.70 "," (365,300.24)"
" (365,300.24)"," (3,044.17)", (487.07)," 4,376.70 "," (364,454.78)"
" (364,454.78)"," (3,037.12)", (485.94)," 4,376.70 "," (363,601.14)"
" (363,601.14)"," (3,030.01)", (484.80)," 4,376.70 "," (362,739.25)"
" (362,739.25)"," (3,022.83)", (483.65)," 4,376.70 "," (361,869.03)"
" (361,869.03)"," (3,015.58)", (482.49)," 4,376.70 "," (360,990.40)"
" (360,990.40)"," (3,008.25)", (481.32)," 4,376.70 "," (360,103.28)"
" (360,103.28)"," (3,000.86)", (480.14)," 4,376.70 "," (359,207.57)"
